,target_default,risk_rate,credit_limit,income,n_defaulted_loans,n_issues,ok_since,n_bankruptcies,external_data_provider_credit_checks_last_year,external_data_provider_credit_checks_last_month,external_data_provider_credit_checks_last_2_year,score_rating,score_rating_enc,risk_score,y_target
0,0,0.4,0.0,65014.12,0.0,18.0,32.0,0.0,0.0,2,2.0,low,2,0.557187659027365,1
1,0,0.24,39726.0,100018.91,0.0,14.0,50.0,0.0,0.0,1,0.0,low,2,0.46548071967725424,0
2,1,0.29,25647.0,65023.65,0.0,10.0,32.0,0.0,2.0,2,2.0,low,2,0.5197996036202535,1
3,0,0.32,54591.0,68830.01,0.0,19.0,32.0,1.0,2.0,3,2.0,good,1,0.5197996036202535,1
4,0,0.18,25647.0,60011.29,0.0,10.0,32.0,0.0,1.0,2,0.0,medium,3,0.46548071967725424,0
5,0,0.44,61055.0,75024.28,0.0,9.0,32.0,0.0,1.0,2,2.0,low,2,0.5941942313235472,1
6,0,0.43,25647.0,49234.65,0.0,10.0,32.0,0.0,0.0,2,0.0,low,2,0.5941942313235472,1
7,0,0.33,42666.0,80024.6,0.0,7.0,32.0,0.0,0.0,3,0.0,low,2,0.5197996036202535,1
8,0,0.33,25647.0,31019.09,0.0,10.0,32.0,0.0,2.0,0,0.0,good,1,0.5197996036202535,1
9,1,0.36,16291.0,45026.26,0.0,8.0,32.0,0.0,0.0,2,0.0,low,2,0.557187659027365,1
10,0,0.22,25647.0,37022.95,0.0,10.0,32.0,0.0,2.0,3,2.0,low,2,0.46548071967725424,0
11,0,0.12,70840.0,80022.82,0.0,16.0,32.0,0.0,1.0,3,0.0,low,2,0.31694586105783434,0
12,0,0.27,25647.0,80029.36,0.0,10.0,32.0,0.0,1.0,2,2.0,medium,3,0.46548071967725424,0
13,0,0.34,187003.0,100033.48,0.0,20.0,32.0,0.0,2.0,1,0.0,medium,3,0.6023187307274919,1
14,0,0.38,25647.0,55012.25,0.0,10.0,32.0,0.0,2.0,3,0.0,low,2,0.557187659027365,1
15,0,0.25,26083.0,37031.78,0.0,5.0,32.0,0.0,2.0,1,2.0,low,2,0.4051395622015246,0
16,0,0.13,0.0,120025.46,0.0,13.0,32.0,0.0,0.0,2,2.0,low,2,0.31694586105783434,0
17,0,0.15,25647.0,86020.18,0.0,8.0,32.0,0.0,2.0,1,0.0,low,2,0.31694586105783434,0
18,0,0.22,25647.0,65027.16,0.0,10.0,32.0,0.0,2.0,1,2.0,low,2,0.46548071967725424,0
19,0,0.18,25647.0,29031.85,0.0,10.0,11.0,0.0,1.0,3,0.0,good,1,0.46548071967725424,0
20,0,0.19,5000.0,26020.18,0.0,5.0,35.0,0.0,0.0,0,0.0,low,2,0.4051395622015246,0
21,0,0.23,40064.0,70023.51,0.0,9.0,16.0,0.0,2.0,3,2.0,low,2,0.46548071967725424,0
22,0,0.28,18709.0,40033.45,0.0,12.0,32.0,0.0,1.0,2,2.0,low,2,0.46548071967725424,0
23,0,0.33,35910.0,130009.93,0.0,23.0,32.0,0.0,0.0,2,0.0,low,2,0.6023187307274919,1
24,0,0.25,25647.0,135025.38,0.0,10.0,32.0,0.0,1.0,0,0.0,low,2,0.46548071967725424,0
25,1,0.36,25647.0,35033.77,0.0,16.0,32.0,0.0,1.0,1,0.0,low,2,0.557187659027365,1
26,0,0.29,25647.0,45771.26,0.0,18.0,19.0,0.0,1.0,1,2.0,medium,3,0.5197996036202535,1
27,0,0.24,25647.0,67686.03,0.0,10.0,23.0,0.0,1.0,1,0.0,low,2,0.46548071967725424,0
28,1,0.32,19457.0,84023.52,0.0,7.0,32.0,1.0,1.0,1,2.0,low,2,0.5197996036202535,1
29,1,0.34,54043.0,58008.26,0.0,22.0,32.0,0.0,2.0,1,2.0,low,2,0.6023187307274919,1
30,0,0.21,25647.0,80025.93,0.0,10.0,32.0,0.0,2.0,3,0.0,low,2,0.46548071967725424,0
31,0,0.35,25647.0,61017.37,0.0,10.0,43.0,0.0,0.0,3,0.0,low,2,0.557187659027365,1
32,1,0.28,25647.0,75026.42,0.0,10.0,32.0,0.0,1.0,2,2.0,low,2,0.46548071967725424,0
