,target_default,score_3,risk_rate,credit_limit,income,n_defaulted_loans,n_issues,ok_since,n_bankruptcies,score_rating,score_rating_enc,situation
0,0,350.0,0.4,0.0,65014.12,0.0,18.0,32.0,0.0,low,2,0
1,0,370.0,0.24,39726.0,100018.91,0.0,14.0,50.0,0.0,low,2,0
2,1,360.0,0.29,25647.0,65023.65,0.0,10.0,32.0,0.0,low,2,cured
3,0,510.0,0.32,54591.0,68830.01,0.0,19.0,32.0,1.0,good,1,0
4,0,500.0,0.18,25647.0,60011.29,0.0,10.0,32.0,0.0,medium,3,0
5,0,300.0,0.44,61055.0,75024.28,0.0,9.0,32.0,0.0,low,2,0
6,0,250.0,0.43,25647.0,49234.65,0.0,10.0,32.0,0.0,low,2,0
7,0,330.0,0.33,42666.0,80024.6,0.0,7.0,32.0,0.0,low,2,0
8,0,510.0,0.33,25647.0,31019.09,0.0,10.0,32.0,0.0,good,1,0
9,1,390.0,0.36,16291.0,45026.26,0.0,8.0,32.0,0.0,low,2,cured
10,0,350.0,0.22,25647.0,37022.95,0.0,10.0,32.0,0.0,low,2,0
11,0,340.0,0.12,70840.0,80022.82,0.0,16.0,32.0,0.0,low,2,0
12,0,460.0,0.27,25647.0,80029.36,0.0,10.0,32.0,0.0,medium,3,0
13,0,400.0,0.34,187003.0,100033.48,0.0,20.0,32.0,0.0,medium,3,0
14,0,370.0,0.38,25647.0,55012.25,0.0,10.0,32.0,0.0,low,2,0
16,0,370.0,0.25,26083.0,37031.78,0.0,5.0,32.0,0.0,low,2,0
17,0,310.0,0.13,0.0,120025.46,0.0,13.0,32.0,0.0,low,2,0
18,0,190.0,0.15,25647.0,86020.18,0.0,8.0,32.0,0.0,low,2,0
19,0,210.0,0.22,25647.0,65027.16,0.0,10.0,32.0,0.0,low,2,0
20,0,590.0,0.18,25647.0,29031.85,0.0,10.0,11.0,0.0,good,1,0
21,0,340.0,0.19,5000.0,26020.18,0.0,5.0,35.0,0.0,low,2,0
22,0,390.0,0.23,40064.0,70023.51,0.0,9.0,16.0,0.0,low,2,0
23,0,280.0,0.28,18709.0,40033.45,0.0,12.0,32.0,0.0,low,2,0
24,0,260.0,0.33,35910.0,130009.93,0.0,23.0,32.0,0.0,low,2,0
25,0,320.0,0.25,25647.0,135025.38,0.0,10.0,32.0,0.0,low,2,0
26,1,330.0,0.36,25647.0,35033.77,0.0,16.0,32.0,0.0,low,2,cured
28,0,420.0,0.29,25647.0,45771.26,0.0,18.0,19.0,0.0,medium,3,0
29,0,250.0,0.24,25647.0,67686.03,0.0,10.0,23.0,0.0,low,2,0
30,1,210.0,0.32,19457.0,84023.52,0.0,7.0,32.0,1.0,low,2,cured
31,1,370.0,0.34,54043.0,58008.26,0.0,22.0,32.0,0.0,low,2,cured
32,0,260.0,0.21,25647.0,80025.93,0.0,10.0,32.0,0.0,low,2,0
33,0,320.0,0.35,25647.0,61017.37,0.0,10.0,43.0,0.0,low,2,0
34,1,330.0,0.28,25647.0,75026.42,0.0,10.0,32.0,0.0,low,2,cured
35,1,450.0,0.44,16588.0,47250.48,0.0,7.0,32.0,1.0,medium,3,cured
36,0,240.0,0.41,25647.0,152017.46,0.0,10.0,32.0,0.0,low,2,0
37,1,430.0,0.42,80661.0,85014.57,0.0,13.0,32.0,0.0,medium,3,cured
38,0,530.0,0.33,25647.0,38013.18,0.0,10.0,32.0,0.0,good,1,0
39,0,470.0,0.22,49052.0,43022.34,0.0,8.0,17.0,0.0,medium,3,0
40,0,370.0,0.28,0.0,38028.55,0.0,11.0,32.0,0.0,low,2,0
41,0,470.0,0.26,69429.0,67396.59,0.0,6.0,29.0,0.0,medium,3,0
42,0,330.0,0.29,23348.0,60022.6,0.0,15.0,32.0,0.0,low,2,0
44,1,340.0,0.36,25647.0,30036.14,0.0,10.0,32.0,0.0,low,2,cured
45,1,430.0,0.23,23961.0,50015.76,0.0,23.0,18.0,0.0,medium,3,cured
47,0,420.0,0.41,47013.0,67720.66,0.0,16.0,35.0,0.0,medium,3,0
48,1,340.0,0.35,20770.0,75025.25,0.0,17.0,32.0,0.0,low,2,cured
49,0,270.0,0.34,25647.0,41020.14,0.0,10.0,56.0,0.0,low,2,0
50,0,300.0,0.23,4783.0,24028.72,0.0,8.0,32.0,1.0,low,2,0
51,0,500.0,0.29,3892.0,38621.83,0.0,21.0,32.0,0.0,medium,3,0
52,0,290.0,0.28,18223.0,75260.61,0.0,8.0,32.0,0.0,low,2,0
53,0,500.0,0.41,37118.0,45038.2,0.0,8.0,32.0,0.0,medium,3,0
54,1,390.0,0.25,0.0,70029.08,0.0,8.0,32.0,0.0,low,2,cured
55,0,300.0,0.31,57456.0,76979.41,0.0,12.0,38.0,0.0,low,2,0
56,0,570.0,0.3,25749.0,43023.17,0.0,9.0,93.0,0.0,good,1,0
57,0,430.0,0.29,54965.0,60031.75,0.0,9.0,27.0,0.0,medium,3,0
58,0,360.0,0.34,25647.0,40022.36,0.0,10.0,32.0,0.0,low,2,0
59,0,180.0,0.22,13287.0,106029.39,0.0,4.0,32.0,0.0,low,2,0
60,0,340.0,0.51,25647.0,55233.12,0.0,10.0,44.0,0.0,low,2,0
61,0,320.0,0.25,17339.0,60013.75,0.0,7.0,13.0,0.0,low,2,0
62,0,220.0,0.34,56512.0,116024.89,0.0,11.0,8.0,0.0,low,2,0
63,0,260.0,0.36,0.0,98014.66,0.0,6.0,32.0,0.0,low,2,0
64,0,250.0,0.23,24000.0,71012.93,0.0,7.0,66.0,0.0,low,2,0
65,0,420.0,0.19,25647.0,94026.52,0.0,10.0,23.0,0.0,medium,3,0
66,0,310.0,0.08,15200.0,49531.39,0.0,13.0,32.0,0.0,low,2,0
67,0,210.0,0.17,95059.0,139015.73,0.0,13.0,33.0,0.0,low,2,0
68,0,350.0,0.26,17740.0,34021.24,0.0,8.0,32.0,0.0,low,2,0
70,0,300.0,0.17,0.0,46023.23,0.0,7.0,32.0,0.0,low,2,0
71,0,620.0,0.08,25647.0,75023.3,0.0,10.0,32.0,0.0,excellent,0,0
72,0,520.0,0.34,48589.0,45007.66,0.0,22.0,32.0,0.0,good,1,0
73,0,390.0,0.3,25647.0,133269.17,0.0,10.0,32.0,0.0,low,2,0
74,0,330.0,0.51,19766.0,113829.25,0.0,8.0,12.0,0.0,low,2,0
75,0,560.0,0.24,116659.0,45030.4,0.0,21.0,32.0,0.0,good,1,0
76,0,280.0,0.2,25647.0,66022.08,0.0,10.0,32.0,0.0,low,2,0
77,1,360.0,0.23,52288.0,78015.44,0.0,15.0,32.0,0.0,low,2,cured
78,0,490.0,0.24,4750.0,18020.45,0.0,6.0,32.0,0.0,medium,3,0
79,0,250.0,0.28,0.0,34023.26,0.0,5.0,32.0,0.0,low,2,0
80,0,370.0,0.27,25647.0,83116.58,0.0,10.0,32.0,0.0,low,2,0
81,0,590.0,0.17,0.0,80017.4,0.0,8.0,23.0,0.0,good,1,0
82,0,360.0,0.17,62868.0,112014.82,0.0,13.0,44.0,0.0,low,2,0
83,0,430.0,0.18,25647.0,80012.1,0.0,10.0,32.0,0.0,medium,3,0
84,0,200.0,0.12,25647.0,104820.53,0.0,10.0,32.0,0.0,low,2,0
85,0,350.0,0.23,25647.0,30211.92,0.0,10.0,17.0,0.0,low,2,0
87,0,370.0,0.29,0.0,40024.02,0.0,10.0,32.0,0.0,low,2,0
88,1,190.0,0.34,0.0,45013.17,0.0,10.0,30.0,0.0,low,2,cured
89,0,280.0,0.31,27625.0,78030.16,0.0,6.0,32.0,0.0,low,2,0
90,0,200.0,0.31,31980.0,115020.25,0.0,8.0,32.0,0.0,low,2,0
91,0,350.0,0.09,98453.0,222016.18,0.0,15.0,32.0,0.0,low,2,0
92,1,340.0,0.43,68925.0,125024.54,0.0,10.0,24.0,0.0,low,2,cured
93,1,330.0,0.42,0.0,49034.74,0.0,12.0,21.0,0.0,low,2,cured
94,0,240.0,0.45,46103.0,120018.69,1.0,6.0,7.0,0.0,low,2,workout
96,0,270.0,0.12,25647.0,62010.95,0.0,10.0,32.0,0.0,low,2,0
97,0,180.0,0.4,0.0,85041.63,0.0,18.0,32.0,0.0,low,2,0
98,0,260.0,0.18,5000.0,25027.02,0.0,8.0,32.0,0.0,low,2,0
99,0,320.0,0.46,45819.0,111029.36,0.0,16.0,32.0,1.0,low,2,0
100,0,400.0,0.37,25647.0,100009.08,0.0,9.0,30.0,0.0,medium,3,0
101,0,440.0,0.37,70903.0,90011.78,0.0,16.0,29.0,0.0,medium,3,0
102,0,180.0,0.16,25647.0,26030.16,0.0,10.0,32.0,1.0,low,2,0
103,0,320.0,0.24,35507.0,72015.32,0.0,9.0,32.0,0.0,low,2,0
104,0,430.0,0.27,52523.0,162025.69,0.0,11.0,32.0,0.0,medium,3,0
105,0,250.0,0.44,25647.0,140009.68,0.0,10.0,32.0,0.0,low,2,0
106,0,230.0,0.39,34307.0,80032.66,0.0,12.0,33.0,0.0,low,2,0
107,1,480.0,0.37,42833.0,58024.73,0.0,19.0,32.0,0.0,medium,3,cured
108,0,430.0,0.22,14195.0,55024.62,0.0,7.0,32.0,0.0,medium,3,0
109,0,300.0,0.21,25647.0,37034.8,0.0,10.0,32.0,0.0,low,2,0
110,0,440.0,0.19,82625.0,100019.42,0.0,18.0,32.0,0.0,medium,3,0
111,0,310.0,0.24,0.0,30034.32,0.0,8.0,32.0,0.0,low,2,0
112,0,410.0,0.49,40036.0,60030.79,0.0,7.0,56.0,0.0,medium,3,0
113,0,360.0,0.11,25647.0,40018.67,0.0,10.0,51.0,0.0,low,2,0
114,0,510.0,0.34,14079.0,30033.8,0.0,9.0,32.0,0.0,good,1,0
115,0,170.0,0.22,18210.0,81267.1,0.0,9.0,32.0,0.0,low,2,0
116,0,160.0,0.46,25647.0,40021.47,0.0,10.0,31.0,0.0,low,2,0
117,0,230.0,0.27,25647.0,91019.83,0.0,10.0,73.0,0.0,low,2,0
118,1,200.0,0.35,25647.0,36021.24,0.0,10.0,32.0,0.0,low,2,cured
119,0,260.0,0.3,78844.0,100026.3,0.0,10.0,32.0,0.0,low,2,0
120,0,420.0,0.25,25647.0,44038.48,0.0,10.0,32.0,0.0,medium,3,0
121,0,190.0,0.54,14970.0,99618.86,0.0,11.0,49.0,0.0,low,2,0
122,0,460.0,0.36,122546.0,175020.12,0.0,8.0,19.0,0.0,medium,3,0
123,0,290.0,0.23,25647.0,105007.12,0.0,10.0,32.0,0.0,low,2,0
124,0,470.0,0.32,24350.0,53514.53,0.0,7.0,24.0,0.0,medium,3,0
125,0,140.0,0.33,18558.0,110027.66,0.0,10.0,11.0,0.0,low,2,0
126,0,160.0,0.41,0.0,46019.96,0.0,7.0,32.0,0.0,low,2,0
127,0,450.0,0.3,25647.0,66023.37,0.0,10.0,4.0,0.0,medium,3,0
129,0,250.0,0.49,25647.0,65028.25,0.0,18.0,48.0,0.0,low,2,0
130,0,310.0,0.34,56635.0,84011.19,0.0,12.0,32.0,0.0,low,2,0
131,0,320.0,0.26,0.0,85007.45,0.0,11.0,32.0,0.0,low,2,0
132,0,240.0,0.32,25647.0,35034.27,0.0,10.0,32.0,0.0,low,2,0
133,0,450.0,0.2,43449.0,48017.56,0.0,6.0,32.0,0.0,medium,3,0
134,0,400.0,0.29,0.0,107039.26,0.0,3.0,32.0,0.0,medium,3,0
135,0,260.0,0.3,0.0,115034.11,0.0,8.0,32.0,0.0,low,2,0
136,1,460.0,0.28,27218.0,27004.37,0.0,6.0,32.0,0.0,medium,3,cured
137,1,480.0,0.24,99088.0,49024.28,0.0,14.0,32.0,0.0,medium,3,cured
138,0,190.0,0.12,25647.0,78515.74,0.0,10.0,32.0,0.0,low,2,0
140,0,240.0,0.28,25647.0,20440.35,0.0,10.0,23.0,0.0,low,2,0
141,0,440.0,0.17,15188.0,36011.06,0.0,6.0,14.0,1.0,medium,3,0
142,0,370.0,0.37,67035.0,76019.21,0.0,17.0,32.0,0.0,low,2,0
143,0,280.0,0.17,29335.0,50014.0,0.0,16.0,32.0,0.0,low,2,0
144,0,310.0,0.2,25647.0,68266.86,0.0,9.0,32.0,0.0,low,2,0
145,0,390.0,0.2,10000.0,48017.4,0.0,8.0,76.0,0.0,low,2,0
146,0,200.0,0.41,8784.0,81522.08,0.0,10.0,32.0,0.0,low,2,0
147,0,420.0,0.48,24676.0,72029.67,0.0,8.0,11.0,0.0,medium,3,0
148,0,180.0,0.46,9377.0,110022.14,0.0,10.0,36.0,0.0,low,2,0
149,0,270.0,0.27,59706.0,70020.96,0.0,12.0,24.0,0.0,low,2,0
150,1,460.0,0.23,25647.0,41517.87,0.0,10.0,32.0,0.0,medium,3,cured
151,0,230.0,0.27,25647.0,52019.56,0.0,10.0,32.0,1.0,low,2,0
152,0,180.0,0.35,0.0,65023.84,0.0,7.0,32.0,0.0,low,2,0
153,0,280.0,0.24,5500.0,32024.43,0.0,8.0,32.0,0.0,low,2,0
154,0,260.0,0.22,25647.0,56030.4,0.0,12.0,5.0,0.0,low,2,0
155,0,370.0,0.19,25499.0,50013.36,0.0,7.0,23.0,0.0,low,2,0
156,1,450.0,0.27,28251.0,50023.52,0.0,11.0,32.0,0.0,medium,3,cured
157,0,780.0,0.29,91611.0,85016.18,0.0,13.0,46.0,0.0,excellent,0,0
158,1,390.0,0.44,20544.0,43026.03,0.0,8.0,32.0,0.0,low,2,cured
159,1,300.0,0.04,35225.0,40023.06,0.0,9.0,32.0,0.0,low,2,cured
160,1,330.0,0.09,26391.0,73028.33,0.0,13.0,41.0,0.0,low,2,cured
161,0,350.0,0.54,0.0,47037.27,0.0,6.0,32.0,0.0,low,2,0
162,0,330.0,0.33,25647.0,50032.64,0.0,10.0,32.0,0.0,low,2,0
163,0,210.0,0.39,25647.0,68028.51,0.0,10.0,49.0,0.0,low,2,0
164,0,270.0,0.28,3971.0,40016.2,0.0,11.0,32.0,0.0,low,2,0
165,0,440.0,0.28,25647.0,25013.76,0.0,11.0,34.0,0.0,medium,3,0
166,0,310.0,0.25,25647.0,76012.94,0.0,10.0,32.0,0.0,low,2,0
167,0,280.0,0.2,68708.0,140025.94,0.0,14.0,11.0,0.0,low,2,0
168,1,500.0,0.24,21431.0,100020.14,0.0,9.0,32.0,0.0,medium,3,cured
169,0,350.0,0.27,6614.0,28531.19,0.0,9.0,33.0,0.0,low,2,0
170,1,340.0,0.31,23076.0,67533.87,0.0,15.0,32.0,0.0,low,2,cured
171,0,220.0,0.15,25647.0,123014.36,0.0,10.0,48.0,0.0,low,2,0
172,1,440.0,0.31,18324.0,20016.65,0.0,7.0,32.0,0.0,medium,3,cured
173,0,460.0,0.38,10050.0,70048.51,0.0,10.0,32.0,0.0,medium,3,0
174,0,330.0,0.24,25647.0,20018.48,0.0,10.0,32.0,0.0,low,2,0
175,0,380.0,0.59,10000.0,50026.38,0.0,16.0,32.0,0.0,low,2,0
176,1,270.0,0.28,25647.0,41012.69,0.0,10.0,32.0,0.0,low,2,cured
177,0,400.0,0.32,60762.0,43022.6,0.0,24.0,32.0,0.0,medium,3,0
178,1,450.0,0.26,21179.0,70057.83,0.0,8.0,59.0,0.0,medium,3,cured
179,0,350.0,0.07,25647.0,65016.98,0.0,10.0,32.0,0.0,low,2,0
180,0,370.0,0.31,0.0,89076.58,0.0,8.0,32.0,0.0,low,2,0
181,1,310.0,0.25,6250.0,43041.09,0.0,9.0,61.0,0.0,low,2,cured
182,0,220.0,0.35,15000.0,87014.23,0.0,12.0,32.0,0.0,low,2,0
183,0,280.0,0.23,26278.0,84021.21,0.0,20.0,32.0,0.0,low,2,0
184,0,380.0,0.17,101070.0,80969.68,0.0,18.0,55.0,0.0,low,2,0
185,0,490.0,0.34,14750.0,11445.2,0.0,9.0,32.0,0.0,medium,3,0
186,0,320.0,0.39,25647.0,60034.62,0.0,10.0,32.0,0.0,low,2,0
187,0,420.0,0.22,23068.0,60020.47,0.0,8.0,84.0,0.0,medium,3,0
188,0,400.0,0.25,25647.0,137027.73,0.0,15.0,28.0,0.0,medium,3,0
189,0,560.0,0.16,30537.0,42022.96,0.0,8.0,56.0,0.0,good,1,0
190,1,430.0,0.38,60587.0,78227.66,0.0,19.0,32.0,0.0,medium,3,cured
191,0,420.0,0.44,29787.0,136019.85,0.0,14.0,32.0,0.0,medium,3,0
192,0,310.0,0.32,94654.0,84035.38,0.0,17.0,24.0,0.0,low,2,0
193,0,380.0,0.21,91767.0,68019.19,0.0,8.0,44.0,1.0,low,2,0
194,0,290.0,0.51,8380.0,70023.09,0.0,6.0,32.0,0.0,low,2,0
196,0,320.0,0.26,104292.0,100035.97,0.0,17.0,32.0,0.0,low,2,0
197,1,230.0,0.44,25647.0,66038.23,0.0,10.0,75.0,1.0,low,2,cured
198,0,300.0,0.17,25647.0,45017.25,0.0,18.0,32.0,0.0,low,2,0
199,0,260.0,0.18,26639.0,73027.05,0.0,18.0,32.0,0.0,low,2,0
200,0,360.0,0.42,25647.0,85017.46,0.0,10.0,32.0,0.0,low,2,0
201,0,320.0,0.24,73845.0,81017.11,0.0,14.0,32.0,0.0,low,2,0
202,1,540.0,0.34,57405.0,75018.28,0.0,11.0,32.0,0.0,good,1,cured
203,0,370.0,0.11,173094.0,144040.68,0.0,17.0,33.0,0.0,low,2,0
204,0,340.0,0.26,122877.0,66563.91,0.0,11.0,48.0,0.0,low,2,0
205,1,550.0,0.28,25647.0,74028.03,0.0,10.0,4.0,0.0,good,1,cured
206,0,240.0,0.43,54122.0,62034.17,0.0,17.0,6.0,1.0,low,2,0
207,1,230.0,0.41,28885.0,93023.47,0.0,8.0,44.0,0.0,low,2,cured
208,0,480.0,0.48,46908.0,50020.37,0.0,12.0,27.0,0.0,medium,3,0
210,0,350.0,0.13,25647.0,28821.56,0.0,10.0,35.0,0.0,low,2,0
211,0,430.0,0.24,117609.0,60045.47,0.0,9.0,32.0,0.0,medium,3,0
212,0,310.0,0.28,25647.0,56024.32,0.0,10.0,32.0,0.0,low,2,0
213,0,220.0,0.31,25647.0,55023.35,0.0,10.0,32.0,0.0,low,2,0
214,1,650.0,0.45,33120.0,48011.79,0.0,9.0,32.0,0.0,excellent,0,cured
215,0,530.0,0.17,64667.0,85037.06,0.0,17.0,67.0,0.0,good,1,0
216,0,520.0,0.21,26864.0,113010.94,0.0,9.0,32.0,0.0,good,1,0
217,0,380.0,0.24,6629.0,33016.0,0.0,13.0,32.0,1.0,low,2,0
218,0,340.0,0.41,70755.0,114015.1,0.0,21.0,32.0,0.0,low,2,0
219,0,280.0,0.32,189288.0,400033.27,0.0,12.0,32.0,0.0,low,2,0
220,0,470.0,0.13,83441.0,165015.88,0.0,16.0,32.0,0.0,medium,3,0
221,0,260.0,0.37,45938.0,90026.41,0.0,8.0,23.0,0.0,low,2,0
222,0,480.0,0.16,25647.0,57021.0,0.0,10.0,32.0,0.0,medium,3,0
223,0,180.0,0.3,4000.0,24017.74,0.0,5.0,39.0,0.0,low,2,0
224,0,510.0,0.19,25647.0,40021.06,0.0,10.0,32.0,0.0,good,1,0
226,0,80.0,0.07,25647.0,22005.91,0.0,10.0,52.0,0.0,low,2,0
227,0,280.0,0.26,7338.0,25037.85,0.0,12.0,32.0,0.0,low,2,0
228,0,500.0,0.28,25647.0,55031.34,0.0,10.0,41.0,0.0,medium,3,0
229,0,430.0,0.23,0.0,42622.86,0.0,9.0,31.0,0.0,medium,3,0
230,0,290.0,0.22,0.0,50018.95,0.0,3.0,32.0,0.0,low,2,0
231,0,230.0,0.29,31666.0,104035.61,0.0,19.0,59.0,0.0,low,2,0
232,0,420.0,0.4,25647.0,57747.06,0.0,10.0,32.0,0.0,medium,3,0
233,1,430.0,0.37,25647.0,25807.43,0.0,10.0,32.0,0.0,medium,3,cured
234,1,440.0,0.37,25647.0,30027.54,0.0,10.0,32.0,0.0,medium,3,cured
235,1,290.0,0.5,111542.0,150025.66,0.0,13.0,32.0,0.0,low,2,cured
236,0,320.0,0.09,33064.0,90010.95,0.0,9.0,32.0,0.0,low,2,0
237,0,250.0,0.24,38015.0,85018.34,0.0,12.0,32.0,0.0,low,2,0
238,0,290.0,0.33,0.0,45018.76,0.0,8.0,32.0,0.0,low,2,0
239,0,340.0,0.23,0.0,50024.7,0.0,8.0,72.0,0.0,low,2,0
